x_data|y_data
on, United States immigration officials put Chinese arrivals thr|n, United States immigration officials put Chinese arrivals thro
ough a formidable inquisition to ensure they were who they claim|ugh a formidable inquisition to ensure they were who they claime
ed to be. The questions came like gunfire: In which direction do|d to be. The questions came like gunfire: In which direction doe
es your village face? How many windows are in your house? Where |s your village face? How many windows are in your house? Where i
in the house is the rice bin? How wide is your well? How deep? A|n the house is the rice bin? How wide is your well? How deep? Ar
re there trees in your village? Are there lakes? What shops can |e there trees in your village? Are there lakes? What shops can y
you name? The sponsoring relative was interrogated separately, a|ou name? The sponsoring relative was interrogated separately, an
nd the answers had to match. For the new arrival, a major mistak|d the answers had to match. For the new arrival, a major mistake
e, or a series of smaller ones, could mean deportation. To stand|, or a series of smaller ones, could mean deportation. To stand 
 a chance of passing, aspirants memorized rigorous dossiers know|a chance of passing, aspirants memorized rigorous dossiers known
n as coaching papers. The ensuing interrogation was hard enough | as coaching papers. The ensuing interrogation was hard enough f
for adults. Gen Yeo would undergo it alone. On Dec. 30, 1920, af|or adults. Gen Yeo would undergo it alone. On Dec. 30, 1920, aft
ter a month at sea, the Wongs landed at Angel Island Immigration|er a month at sea, the Wongs landed at Angel Island Immigration 
 Station. The elder Mr. Wong was traveling as a merchant named L|Station. The elder Mr. Wong was traveling as a merchant named Lo
ook Get his son as Look Tai Yow. “Angel Island is considered to |ok Get his son as Look Tai Yow. “Angel Island is considered to b
be the Ellis Island of the West Coast,” Lisa See, the author of |e the Ellis Island of the West Coast,” Lisa See, the author of “
“On Gold Mountain” (1995) a nonfiction chronicle of her family, |On Gold Mountain” (1995) a nonfiction chronicle of her family, s
said in an interview in 2016. However, she continued: “The goal |aid in an interview in 2016. However, she continued: “The goal w
was really very different than Ellis Island, which was supposed |as really very different than Ellis Island, which was supposed t
to be so welcoming. Angel Island opened very specifically to kee|o be so welcoming. Angel Island opened very specifically to keep
p the Chinese out. ” Because Mr. Wong’s father had previously li| the Chinese out. ” Because Mr. Wong’s father had previously liv
ved in the United States as Look Get, he was able to clear Immig|ed in the United States as Look Get, he was able to clear Immigr
ration quickly. But as a new arrival, Gen Yeo was detained on th|ation quickly. But as a new arrival, Gen Yeo was detained on the
e island for nearly a month, the only child among the immigrants| island for nearly a month, the only child among the immigrants 
 being held there. “I was scared half to death I just cried,” Mr|being held there. “I was scared half to death I just cried,” Mr.
. Wong recalled in “Tyrus,” an documentary directed by Pamela To| Wong recalled in “Tyrus,” an documentary directed by Pamela Tom
m, which premiered in 2015. “Every day is just miserable — miser|, which premiered in 2015. “Every day is just miserable — misera
able. I hated that place. ” On Jan. 27, 1921, in the presence of|ble. I hated that place. ” On Jan. 27, 1921, in the presence of 
 an interpreter and a stenographer, young Gen Yeo, posing as Loo|an interpreter and a stenographer, young Gen Yeo, posing as Look
k Tai Yow, was interrogated by three inspectors. His father had | Tai Yow, was interrogated by three inspectors. His father had a
already been questioned. Gen Yeo was well prepared and answered |lready been questioned. Gen Yeo was well prepared and answered w
without error. In Sacramento, where he joined his father, a scho|ithout error. In Sacramento, where he joined his father, a schoo
olteacher Americanized “Tai Yow” to “Tyrus,” and he was known as|lteacher Americanized “Tai Yow” to “Tyrus,” and he was known as 
 Tyrus Wong ever after. Soon afterward, father and son were sepa|Tyrus Wong ever after. Soon afterward, father and son were separ
rated once more, when the elder Mr. Wong moved to Los Angeles to|ated once more, when the elder Mr. Wong moved to Los Angeles to 
 seek work. For reasons that have been lost to time, he could no|seek work. For reasons that have been lost to time, he could not
t take his son. Tyrus lived on his own in a Sacramento boardingh| take his son. Tyrus lived on his own in a Sacramento boardingho
ouse while attending elementary school. Two years later — possib|use while attending elementary school. Two years later — possibl
ly more — Tyrus traveled to Los Angeles to join his father, who |y more — Tyrus traveled to Los Angeles to join his father, who h
had found work in a gambling den. They lived in a boardinghouse |ad found work in a gambling den. They lived in a boardinghouse s
sandwiched between a butcher shop and a brothel. After school, T|andwiched between a butcher shop and a brothel. After school, Ty
yrus worked as a houseboy for two Pasadena families, earning 50 |rus worked as a houseboy for two Pasadena families, earning 50 c
cents a day. His first art teacher was his father, who trained h|ents a day. His first art teacher was his father, who trained hi
im nightly in calligraphy by having him dip a brush in water and|m nightly in calligraphy by having him dip a brush in water and 
 trace ghostly characters on newspaper: They could not afford in|trace ghostly characters on newspaper: They could not afford ink
k or drawing paper. When Tyrus was in junior high, a teacher, no| or drawing paper. When Tyrus was in junior high, a teacher, not
ting his drawing talent, arranged a summer scholarship to the Ot|ing his drawing talent, arranged a summer scholarship to the Oti
is Art Institute in Los Angeles. By his own account an indiffere|s Art Institute in Los Angeles. By his own account an indifferen
nt student in public school, Tyrus found his calling at the inst|t student in public school, Tyrus found his calling at the insti
itute, now the Otis College of Art and Design. When his scholars|tute, now the Otis College of Art and Design. When his scholarsh
hip ended he declined to return to junior high. His father scrap|ip ended he declined to return to junior high. His father scrape
ed together the $90 tuition — a small fortune — to let him stay |d together the $90 tuition — a small fortune — to let him stay o
on as Otis’s youngest student. He studied there for at least fiv|n as Otis’s youngest student. He studied there for at least five
e years, simultaneously working as the school janitor, before gr| years, simultaneously working as the school janitor, before gra
aduating in the 1930s. Not long afterward his father died, leavi|duating in the 1930s. Not long afterward his father died, leavin
ng young Mr. Wong entirely on his own. From 1936 to 1938, Mr. Wo|g young Mr. Wong entirely on his own. From 1936 to 1938, Mr. Won
ng was an artist for the Works Progress Administration, creating|g was an artist for the Works Progress Administration, creating 
 paintings for libraries and other public spaces. With friends, |paintings for libraries and other public spaces. With friends, i
including the artist Benji Okubo, he founded the Oriental Artist|ncluding the artist Benji Okubo, he founded the Oriental Artists
s’ Group of Los Angeles, which organized exhibitions of members’|’ Group of Los Angeles, which organized exhibitions of members’ 
 work — an level of exposure for Asian artists at the time. Mr. |work — an level of exposure for Asian artists at the time. Mr. W
Wong, newly married and needing steady work, joined Disney in 19|ong, newly married and needing steady work, joined Disney in 193
38 as an “” creating the thousands of intermediate drawings that|8 as an “” creating the thousands of intermediate drawings that 
 bring animated sequences to life. Asians were then a novelty at|bring animated sequences to life. Asians were then a novelty at 
 Hollywood studios, and Mr. Wong was made keenly aware of the fa|Hollywood studios, and Mr. Wong was made keenly aware of the fac
ct, first at Disney and later at Warner Brothers. One flung a ra|t, first at Disney and later at Warner Brothers. One flung a rac
cial epithet at him. Another assumed on sight that he worked in |ial epithet at him. Another assumed on sight that he worked in t
the company cafeteria. Then there was the affront of the ’s job |he company cafeteria. Then there was the affront of the ’s job i
itself: Painstaking, repetitive and for Mr. Wong quickly it is t|tself: Painstaking, repetitive and for Mr. Wong quickly it is th
he work of animation — “a terrible use of his talents as a lands|e work of animation — “a terrible use of his talents as a landsc
cape artist and a painter,” Mr. Canemaker said. A reprieve came |ape artist and a painter,” Mr. Canemaker said. A reprieve came i
in the late 1930s, when Mr. Wong learned that Disney was adaptin|n the late 1930s, when Mr. Wong learned that Disney was adapting
g “Bambi, a Life in the Woods,” the 1923 novel by the Austrian w| “Bambi, a Life in the Woods,” the 1923 novel by the Austrian wr
riter Felix Salten about a fawn whose mother is killed by a hunt|iter Felix Salten about a fawn whose mother is killed by a hunte
er. In trying to animate the book, Disney had reached an impasse|r. In trying to animate the book, Disney had reached an impasse.
. The studio had enjoyed great success in 1937 with its animated| The studio had enjoyed great success in 1937 with its animated 
 film “Snow White and the Seven Dwarfs,” a baroque production in|film “Snow White and the Seven Dwarfs,” a baroque production in 
 which every detail of the backgrounds — every petal on every fl|which every detail of the backgrounds — every petal on every flo
ower, every leaf on every tree — was meticulously represented. I|wer, every leaf on every tree — was meticulously represented. In
n an attempt to use a similar style for “Bambi,” it found that t| an attempt to use a similar style for “Bambi,” it found that th
he ornate backgrounds camouflaged the deer and other forest crea|e ornate backgrounds camouflaged the deer and other forest creat
tures on which the narrative centered. Mr. Wong spied his chance|ures on which the narrative centered. Mr. Wong spied his chance.
. “I said, ‘Gee, this is all outdoor scenery,’” he recalled in a| “I said, ‘Gee, this is all outdoor scenery,’” he recalled in a 
 video interview years afterward, adding: “I said, ‘Gee, I’m a l|video interview years afterward, adding: “I said, ‘Gee, I’m a la
andscape painter! ’” Invoking the exquisite landscape paintings |ndscape painter! ’” Invoking the exquisite landscape paintings o
of the Song dynasty (A. D. 960 — 1279) he rendered in watercolor|f the Song dynasty (A. D. 960 — 1279) he rendered in watercolors
s and pastels a series of nature scenes that were moody, lyrical| and pastels a series of nature scenes that were moody, lyrical 
 and atmospheric — at once lush and spare — with backgrounds sub|and atmospheric — at once lush and spare — with backgrounds subt
tly suggested by a stroke or two of the brush. “Walt Disney went|ly suggested by a stroke or two of the brush. “Walt Disney went 
 crazy over them,” said Mr. Canemaker, who wrote about Mr. Wong |crazy over them,” said Mr. Canemaker, who wrote about Mr. Wong i
in his book “Before the Animation Begins: The Art and Lives of D|n his book “Before the Animation Begins: The Art and Lives of Di
isney Inspirational Sketch Artists” (1996). “He said, ‘I love th|sney Inspirational Sketch Artists” (1996). “He said, ‘I love thi
is indefinite quality, the mysterious quality of the forest. ’” |s indefinite quality, the mysterious quality of the forest. ’” M
Mr. Wong was unofficially promoted to the rank of inspirational |r. Wong was unofficially promoted to the rank of inspirational s
sketch artist. “But he was more than that,” Mr. Canemaker explai|ketch artist. “But he was more than that,” Mr. Canemaker explain
ned. “He was the designer he was the person they went to when th|ed. “He was the designer he was the person they went to when the
ey had questions about the color, about how to lay something out|y had questions about the color, about how to lay something out.
. He even influenced the music and the special effects: Just by | He even influenced the music and the special effects: Just by t
the look of the drawings, he inspired people. ” Mr. Wong spent t|he look of the drawings, he inspired people. ” Mr. Wong spent tw
wo years painting the illustrations that would inform every aspe|o years painting the illustrations that would inform every aspec
ct of “Bambi. ” Throughout the finished film — lent a brooding q|t of “Bambi. ” Throughout the finished film — lent a brooding qu
uality by its stark landscapes misty, desaturated palette and fi|ality by its stark landscapes misty, desaturated palette and fig
gures often seen in silhouette — his influence is unmistakable. |ures often seen in silhouette — his influence is unmistakable. B
But in 1941, in the wake of a bitter employees’ strike that year|ut in 1941, in the wake of a bitter employees’ strike that year,
, Disney fired Mr. Wong. Though he had chosen not to strike — he| Disney fired Mr. Wong. Though he had chosen not to strike — he 
 felt the studio had been good to him, Mr. Canemaker said — he w|felt the studio had been good to him, Mr. Canemaker said — he wa
as let go amid the lingering climate of resentments. On “Bambi,”|s let go amid the lingering climate of resentments. On “Bambi,” 
 Mr. Wong’s name appears, quite far down in the credits, as a me|Mr. Wong’s name appears, quite far down in the credits, as a mer
re “background” artist. Mr. Wong joined Warner Brothers in 1942,|e “background” artist. Mr. Wong joined Warner Brothers in 1942, 
 working there — and lent out on occasion to other studios — unt|working there — and lent out on occasion to other studios — unti
il his retirement in 1968. The indignities he endured were not c|l his retirement in 1968. The indignities he endured were not co
onfined to the studios. Trying to buy a house, he and his wife, |nfined to the studios. Trying to buy a house, he and his wife, t
the former Ruth Kim, were told that each property they inquired |he former Ruth Kim, were told that each property they inquired a
about had just been sold. “Then in a month you’d go back there a|bout had just been sold. “Then in a month you’d go back there an
nd the sign was still there,” Mr. Wong recalled in “Tyrus. ” Aft|d the sign was still there,” Mr. Wong recalled in “Tyrus. ” Afte
er the Japanese attack on Pearl Harbor in December 1941, Mr. Won|r the Japanese attack on Pearl Harbor in December 1941, Mr. Wong
g, like many took to wearing a lapel button proclaiming his heri|, like many took to wearing a lapel button proclaiming his herit
tage, lest an angry American beat him up on the street. The war |age, lest an angry American beat him up on the street. The war p
permanently dispersed the fledgling Oriental Artists’ Group. Mr.|ermanently dispersed the fledgling Oriental Artists’ Group. Mr. 
 Wong’s friend Mr. Okubo was sent, with tens of thousands of oth|Wong’s friend Mr. Okubo was sent, with tens of thousands of othe
er to an internment camp. “If World War II hadn’t happened when |r to an internment camp. “If World War II hadn’t happened when i
it did, I think these artists, even the artists, would have more|t did, I think these artists, even the artists, would have more 
 of a name than they do today,” Ms. See said. “And that’s becaus|of a name than they do today,” Ms. See said. “And that’s because
e this little movement that had just barely started was split ap| this little movement that had just barely started was split apa
art by the war. ” Mr. Wong, who became a United States citizen i|rt by the war. ” Mr. Wong, who became a United States citizen in
n 1946, also designed Christmas cards for Hallmark and painted e| 1946, also designed Christmas cards for Hallmark and painted el
legant designs on dinnerware, now sought after by collectors. A |egant designs on dinnerware, now sought after by collectors. A l
longtime resident of Sunland, Calif. he became, in retirement, a|ongtime resident of Sunland, Calif. he became, in retirement, a 
 renowned kitemaker, designing, building and hand coloring aston|renowned kitemaker, designing, building and hand coloring astoni
ishing, airworthy creations — butterflies, swallows, whole flock|shing, airworthy creations — butterflies, swallows, whole flocks
s of owls, centipedes more than 100 feet long — that streaked th| of owls, centipedes more than 100 feet long — that streaked the
e Southern California sky like paint on blue canvas. During the | Southern California sky like paint on blue canvas. During the l
last 15 years of Ruth Wong’s life, when she was ill with dementi|ast 15 years of Ruth Wong’s life, when she was ill with dementia
a, Mr. Wong forsook his work to care for her. After her death in|, Mr. Wong forsook his work to care for her. After her death in 
 1995, he slowly began making art again. In 2001, in formal reco|1995, he slowly began making art again. In 2001, in formal recog
gnition of his influence on “Bambi,” Mr. Wong was named a Disney|nition of his influence on “Bambi,” Mr. Wong was named a Disney 
 Legend. The honor — whose previous recipients include Fred MacM|Legend. The honor — whose previous recipients include Fred MacMu
urray, Julie Andrews and Annette Funicello — is bestowed by the |rray, Julie Andrews and Annette Funicello — is bestowed by the W
Walt Disney Company for outstanding contributions. In 2003, a re|alt Disney Company for outstanding contributions. In 2003, a ret
trospective of his work, curated in part by Ms. See, was the ina|rospective of his work, curated in part by Ms. See, was the inau
ugural exhibition at the Chinese American Museum in Los Angeles.|gural exhibition at the Chinese American Museum in Los Angeles. 
 The Disney Family Museum’s retrospective, “Water to Paper, Pain|The Disney Family Museum’s retrospective, “Water to Paper, Paint
t to Sky,” traveled in 2015 to the Museum of Chinese in America,| to Sky,” traveled in 2015 to the Museum of Chinese in America, 
 in Lower Manhattan. Mr. Wong’s death, at his home in Sunland, w|in Lower Manhattan. Mr. Wong’s death, at his home in Sunland, wa
as confirmed by the filmmaker Ms. Tom. His survivors include thr|s confirmed by the filmmaker Ms. Tom. His survivors include thre
ee daughters, Kay Fong, Wong and Kim Wong and two grandchildren.|e daughters, Kay Fong, Wong and Kim Wong and two grandchildren. 
 When his daughters were small, Mr. Wong encouraged them to make|When his daughters were small, Mr. Wong encouraged them to make 
 art, as his father had encouraged him. Yet he would not let the|art, as his father had encouraged him. Yet he would not let them
m have coloring books. The reason was simple: He did not want hi| have coloring books. The reason was simple: He did not want his
s children constrained, he said, by lines laid down by others| children constrained, he said, by lines laid down by others.
Death may be the great equalizer, but it isn’t necessarily evenh|eath may be the great equalizer, but it isn’t necessarily evenha
anded. Of all the fields of endeavor that suffered mortal losses|nded. Of all the fields of endeavor that suffered mortal losses 
 in 2016 — consider Muhammad Ali and Arnold Palmer in sports and|in 2016 — consider Muhammad Ali and Arnold Palmer in sports and 
 the Hollywood deaths of Carrie Fisher and Debbie Reynolds — the|the Hollywood deaths of Carrie Fisher and Debbie Reynolds — the 
 pop music world had, hands down, the bleakest year. Start with |pop music world had, hands down, the bleakest year. Start with D
David Bowie, whose stage persona — androgynous glam rocker, danc|avid Bowie, whose stage persona — androgynous glam rocker, dance
e pop star, electronic experimentalist — was as as his music. Th| pop star, electronic experimentalist — was as as his music. The
e year was only days old when the news came that he had died of | year was only days old when the news came that he had died of c
cancer at 69. He had hinted that his time was short in the lyric|ancer at 69. He had hinted that his time was short in the lyrics
s of his final album, released just two days before his death, b| of his final album, released just two days before his death, bu
ut he had otherwise gone to great lengths to hide his illness fr|t he had otherwise gone to great lengths to hide his illness fro
om the public, a wish for privacy that ensured that his death wo|m the public, a wish for privacy that ensured that his death wou
uld appear to have come out of the blue. Then came another shock|ld appear to have come out of the blue. Then came another shock,
, about three months later, when Prince accidentally overdosed o| about three months later, when Prince accidentally overdosed on
n a painkiller and collapsed in an elevator at his sprawling hom| a painkiller and collapsed in an elevator at his sprawling home
e studio near Minneapolis. Death came to him at 57, and by all i| studio near Minneapolis. Death came to him at 57, and by all in
ndications no one, including Prince Rogers Nelson, had seen it c|dications no one, including Prince Rogers Nelson, had seen it co
oming. As energetic onstage as ever, holding to an otherwise hea|ming. As energetic onstage as ever, holding to an otherwise heal
lthy regimen, he had successfully defied age into his sixth deca|thy regimen, he had successfully defied age into his sixth decad
de, so why not death, too? Leonard Cohen, on the other hand, in |e, so why not death, too? Leonard Cohen, on the other hand, in h
his 83rd year, undoubtedly did see it coming, just over his shou|is 83rd year, undoubtedly did see it coming, just over his shoul
lder, but he went on his — I hesitate to say merry — way, ever t|der, but he went on his — I hesitate to say merry — way, ever th
he wise, troubadour playing to sellout crowds and shrugging at t|e wise, troubadour playing to sellout crowds and shrugging at th
he inevitable, knowing that the dark would finally overtake him |e inevitable, knowing that the dark would finally overtake him b
but saying essentially, “Until then, here’s another song. ” It w|ut saying essentially, “Until then, here’s another song. ” It wa
as as if 2016 hadn’t delivered enough jolts to the system when i|s as if 2016 hadn’t delivered enough jolts to the system when it
t closed out the year with yet another death. George Michael, th| closed out the year with yet another death. George Michael, the
e 1980s sensation whose aura had dimmed in later years, was 53 w| 1980s sensation whose aura had dimmed in later years, was 53 wh
hen he went to bed and never woke up on Christmas. Pop music fig|en he went to bed and never woke up on Christmas. Pop music figu
ures fell all year, many of their voices still embedded in the n|res fell all year, many of their voices still embedded in the ni
icked vinyl grooves of old records that a lot of people can’t be|cked vinyl grooves of old records that a lot of people can’t bea
ar to throw out. The roster included Paul Kantner of Jefferson A|r to throw out. The roster included Paul Kantner of Jefferson Ai
irplane Keith Emerson and Greg Lake of Emerson, Lake and Palmer |rplane Keith Emerson and Greg Lake of Emerson, Lake and Palmer G
Glenn Frey of the Eagles and Maurice White of Earth, Wind Fire. |lenn Frey of the Eagles and Maurice White of Earth, Wind Fire. L
Leon Russell, the piano pounder with a Delta blues wail and a mo|eon Russell, the piano pounder with a Delta blues wail and a mou
untain man’s mass of hair, died. So did Merle Haggard, rugged co|ntain man’s mass of hair, died. So did Merle Haggard, rugged cou
untry poet of the common man and the outlaw. He was joined by th|ntry poet of the common man and the outlaw. He was joined by the
e bluegrass legend Ralph Stanley and the guitar virtuoso who was| bluegrass legend Ralph Stanley and the guitar virtuoso who was 
 practically glued to Elvis’s swiveling hips in the early days: |practically glued to Elvis’s swiveling hips in the early days: S
Scotty Moore. And then there was George Martin, whose genius had|cotty Moore. And then there was George Martin, whose genius had 
 such a creative influence on the sounds of John, Paul, George a|such a creative influence on the sounds of John, Paul, George an
nd Ringo (and, by extension, on the entire rock era) that he was|d Ringo (and, by extension, on the entire rock era) that he was 
 hailed as the fifth Beatle. If the music stars could fill arena|hailed as the fifth Beatle. If the music stars could fill arenas
s, so could idols of another stripe: the mighty athletes who lef|, so could idols of another stripe: the mighty athletes who left
t the scene. No figure among them was as towering as Ali. Some c| the scene. No figure among them was as towering as Ali. Some ca
alled him the greatest sports figure of the 20th century, the bo|lled him the greatest sports figure of the 20th century, the box
xer who combined power, grace and brains in a way the ring had n|er who combined power, grace and brains in a way the ring had ne
ever seen. But he was more than a great athlete. Matters of war,|ver seen. But he was more than a great athlete. Matters of war, 
 race and religion coursed through his life in a publicly turbul|race and religion coursed through his life in a publicly turbule
ent way. Some people hated him when he refused to be drafted dur|nt way. Some people hated him when he refused to be drafted duri
ing the Vietnam War, a decision that cost him his heavyweight ti|ng the Vietnam War, a decision that cost him his heavyweight tit
tle. But more people admired him, even loved him, for his princi|le. But more people admired him, even loved him, for his princip
pled stands, his high spirits, his lightning mind, his winking a|led stands, his high spirits, his lightning mind, his winking an
nd, yes, his rhyming motormouth. Until illness closed in, little|d, yes, his rhyming motormouth. Until illness closed in, little 
 could contain him, certainly not mere ropes around a ring. Palm|could contain him, certainly not mere ropes around a ring. Palme
er, too, was transformational, golf’s first media star. The gent|r, too, was transformational, golf’s first media star. The gentl
leman’s game was never quite the same after he began gathering a|eman’s game was never quite the same after he began gathering an
n army on the rolling greenswards and leading a charge, his shir| army on the rolling greenswards and leading a charge, his shirt
t coming untucked, a cigarette dangling from his lips, his club | coming untucked, a cigarette dangling from his lips, his club j
just that, a weapon, as he pressed the attack. An entire generat|ust that, a weapon, as he pressed the attack. An entire generati
ion of postwar guys took up the game because of Arnie, and not a|on of postwar guys took up the game because of Arnie, and not a 
 few women did, too. He was athletically blessed, magnetically c|few women did, too. He was athletically blessed, magnetically co
ool, telegenically handsome — but he was somehow one of them, to|ol, telegenically handsome — but he was somehow one of them, too
o. The same was said of Gordie Howe, Mr. Hockey, a son of the Sa|. The same was said of Gordie Howe, Mr. Hockey, a son of the Sas
skatchewan prairie who tore up the National Hockey League, hung |katchewan prairie who tore up the National Hockey League, hung u
up his skates at 52 and died at 88 and of Ralph Branca, a trolle|p his skates at 52 and died at 88 and of Ralph Branca, a trolley
y car conductor’s son who was a living reminder that one crushin| car conductor’s son who was a living reminder that one crushing
g mistake — his, the fastball to Bobby Thomson that decided the | mistake — his, the fastball to Bobby Thomson that decided the 1
1951 National League pennant — can sometimes never be lived down|951 National League pennant — can sometimes never be lived down.
. Pat Summitt, the coach who elevated women’s basketball, led he| Pat Summitt, the coach who elevated women’s basketball, led her
r Tennessee teams to eight championships and won more games than| Tennessee teams to eight championships and won more games than 
 any other college coach, could not defeat Alzheimer’s disease, |any other college coach, could not defeat Alzheimer’s disease, d
dying at 64. And within months the National Basketball Associati|ying at 64. And within months the National Basketball Associatio
on lost two giants from different eras. Clyde Lovelette, an Olym|n lost two giants from different eras. Clyde Lovelette, an Olymp
pic, college and N. B. A. champion who transformed the game as o|ic, college and N. B. A. champion who transformed the game as on
ne of its first truly big men, was 86 his hardwood heir Nate Thu|e of its first truly big men, was 86 his hardwood heir Nate Thur
rmond, a defensive stalwart who battled Russell, Wilt and Kareem|mond, a defensive stalwart who battled Russell, Wilt and Kareem 
 in the paint in a Hall of Fame career, was 74. Even older, in t|in the paint in a Hall of Fame career, was 74. Even older, in th
he baseball ranks, was Monte Irvin. When he died at 96, there we|e baseball ranks, was Monte Irvin. When he died at 96, there wer
re few people still around who could remember watching him play,|e few people still around who could remember watching him play, 
 particularly in his prime, in the 1940s, when he was a star on |particularly in his prime, in the 1940s, when he was a star on t
the Negro circuit but barred from the major leagues. He made the|he Negro circuit but barred from the major leagues. He made the 
 Hall of Fame anyway as a New York Giant and became Major League|Hall of Fame anyway as a New York Giant and became Major League 
 Baseball’s first black executive, but when he died, fans ponder|Baseball’s first black executive, but when he died, fans pondere
ed again the question that has hung over many an athletic career|d again the question that has hung over many an athletic career 
 shackled by discrimination: What if? A different question, in a|shackled by discrimination: What if? A different question, in an
n entirely different sphere, arose after the stunning news that | entirely different sphere, arose after the stunning news that J
Justice Antonin Scalia had died on a hunting trip in Texas: What|ustice Antonin Scalia had died on a hunting trip in Texas: What 
 now? In the thick of one of the most consequential Supreme Cour|now? In the thick of one of the most consequential Supreme Court
t careers of modern times, he left a void in conservative jurisp| careers of modern times, he left a void in conservative jurispr
rudence and, more urgently, a vacancy on the bench that has yet |udence and, more urgently, a vacancy on the bench that has yet t
to be filled, raising still more questions about what may await |o be filled, raising still more questions about what may await t
the country. Other exits from the public stage returned us to th|he country. Other exits from the public stage returned us to the
e past. Nancy Reagan’s death evoked the 1980s White House, where| past. Nancy Reagan’s death evoked the 1980s White House, where 
 glamour and West Coast conservatism took up residence on the ba|glamour and West Coast conservatism took up residence on the ban
nks of the Potomac. John Glenn’s had us thinking again about a b|ks of the Potomac. John Glenn’s had us thinking again about a bu
urst of national pride soaring into outer space. The deaths of T|rst of national pride soaring into outer space. The deaths of To
om Hayden and Daniel Berrigan, avatars of defiance, harked back |m Hayden and Daniel Berrigan, avatars of defiance, harked back t
to the student rebellions of the 1960s and the Vietnam War’s roi|o the student rebellions of the 1960s and the Vietnam War’s roil
ling home front. Phyllis Schlafly’s obituaries were windows on t|ing home front. Phyllis Schlafly’s obituaries were windows on th
he roots of the right wing’s ascension in American politics. The|e roots of the right wing’s ascension in American politics. The 
 death of Janet Reno, the first woman to serve as attorney gener|death of Janet Reno, the first woman to serve as attorney genera
al, recalled the Clinton years, all eight of them, from the fire|l, recalled the Clinton years, all eight of them, from the fires
storm at Waco, Tex. to the international tug of war over a Cuban|torm at Waco, Tex. to the international tug of war over a Cuban 
 boy named Elián González, to the bitter Senate battle over impe|boy named Elián González, to the bitter Senate battle over impea
achment. On other shores, Fidel Castro’s death at 90 summoned me|chment. On other shores, Fidel Castro’s death at 90 summoned mem
mories of Cuban revolution, nuclear brinkmanship and enduring en|ories of Cuban revolution, nuclear brinkmanship and enduring enm
mity between a strongman and the superpower only 90 miles away. |ity between a strongman and the superpower only 90 miles away. T
The name of Boutros the Egyptian diplomat who led the United Nat|he name of Boutros the Egyptian diplomat who led the United Nati
ions, led to replayed nightmares of genocide in Rwanda and Bosni|ons, led to replayed nightmares of genocide in Rwanda and Bosnia
a. The death of Shimon Peres removed a last link to the very fou|. The death of Shimon Peres removed a last link to the very foun
nding of Israel and conjured decades of growing military power a|ding of Israel and conjured decades of growing military power an
nd fitful strivings for peace. And that of Elie Wiesel, in New Y|d fitful strivings for peace. And that of Elie Wiesel, in New Yo
ork, after his tireless struggle to compel the world never to fo|rk, after his tireless struggle to compel the world never to for
rget, made us confront once again the gas chambers of Auschwitz.|get, made us confront once again the gas chambers of Auschwitz. 
 If writers, too, are even in fiction, then the world is poorer |If writers, too, are even in fiction, then the world is poorer w
without the literary voices of Harper Lee, Umberto Eco, Pat Conr|ithout the literary voices of Harper Lee, Umberto Eco, Pat Conro
oy, Jim Harrison, Anita Brookner, Alvin Toffler, Gloria Naylor a|y, Jim Harrison, Anita Brookner, Alvin Toffler, Gloria Naylor an
nd William Trevor, not to mention the playwrights Peter Shaffer,|d William Trevor, not to mention the playwrights Peter Shaffer, 
 Dario Fo and, Edward Albee — all dead in 2016. But just as trea|Dario Fo and, Edward Albee — all dead in 2016. But just as treas
sured were those who spun for our viewing pleasure — none more l|ured were those who spun for our viewing pleasure — none more lu
ustily than Ms. Fisher, the Princess Leia of the “Star Wars” tal|stily than Ms. Fisher, the Princess Leia of the “Star Wars” tale
es. Just a day later, capping a year of startling deaths, Ms. Re|s. Just a day later, capping a year of startling deaths, Ms. Rey
ynolds, a singing and acting leading lady of an earlier era, die|nolds, a singing and acting leading lady of an earlier era, died
d at 84 in the throes of a mother’s grief. Devotees of the “Harr| at 84 in the throes of a mother’s grief. Devotees of the “Harry
y Potter” movies were saddened by the death of Alan Rickman, who| Potter” movies were saddened by the death of Alan Rickman, who 
 played the deliciously dour professor Severus Snape in that blo|played the deliciously dour professor Severus Snape in that bloc
ckbuster franchise but whose career, on both stage and screen, w|kbuster franchise but whose career, on both stage and screen, wa
as far richer than many of Snape’s younger fans may have known. |s far richer than many of Snape’s younger fans may have known. Z
Zsa Zsa Gabor’s celebrity, by contrast, outshone a modest acting|sa Zsa Gabor’s celebrity, by contrast, outshone a modest acting 
 career. Gene Wilder and Garry Shandling died in the same year, |career. Gene Wilder and Garry Shandling died in the same year, b
both having perfected a brand of hilariously neurotic comedy fit|oth having perfected a brand of hilariously neurotic comedy fit 
 for a culture. And this time Abe Vigoda, of the “Godfather” mov|for a culture. And this time Abe Vigoda, of the “Godfather” movi
ies and “Barney Miller,” actually did die, after having not actu|es and “Barney Miller,” actually did die, after having not actua
ally done so years ago when wildly uninformed people spread the |lly done so years ago when wildly uninformed people spread the w
word that he had. On the other side of the camera were directors|ord that he had. On the other side of the camera were directors 
 whose vision came to us from all parts: Jacques Rivette, the Fr|whose vision came to us from all parts: Jacques Rivette, the Fre
ench New Wave auteur, with his meditations on life and art Abbas|nch New Wave auteur, with his meditations on life and art Abbas 
